date,network,daypart,viewers
201411,B,"M,T,W,R,F 4:00 PM - 6:00 PM",446
201411,A,"M,T,W,R,F 6:00 PM - 8:00 PM",292
201411,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",636
201411,B,"M,T,W,R,F 6:00 PM - 8:00 PM",661
201411,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1203
201411,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",386
201411,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",194
201411,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",591
201411,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",311
201411,A,"S,Su 6:00 AM - 8:00 AM",112
201411,A,"S,Su 8:00 AM - 1:00 PM",181
201411,B,"S,Su 6:00 AM - 8:00 AM",0
201411,B,"S,Su 8:00 AM - 1:00 PM",461
201411,A,"S,Su 1:00 PM - 8:00 PM",327
201411,B,"S,Su 1:00 PM - 8:00 PM",645
201412,A,"M,T,W,R,F 6:00 AM - 10:00 AM",98
201412,A,"M,T,W,R,F 10:00 AM - 1:00 PM",137
201412,B,"M,T,W,R,F 6:00 AM - 10:00 AM",157
201412,B,"M,T,W,R,F 10:00 AM - 1:00 PM",338
201412,A,"M,T,W,R,F 1:00 PM - 4:00 PM",200
201412,A,"M,T,W,R,F 4:00 PM - 6:00 PM",204
201412,B,"M,T,W,R,F 1:00 PM - 4:00 PM",427
201412,B,"M,T,W,R,F 4:00 PM - 6:00 PM",484
201412,A,"M,T,W,R,F 6:00 PM - 8:00 PM",271
201412,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",644
201412,B,"M,T,W,R,F 6:00 PM - 8:00 PM",690
201412,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1209
201412,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",440
201412,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",229
201412,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",601
201412,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",335
201412,A,"S,Su 6:00 AM - 8:00 AM",116
201412,A,"S,Su 8:00 AM - 1:00 PM",215
201412,B,"S,Su 6:00 AM - 8:00 AM",0
201412,B,"S,Su 8:00 AM - 1:00 PM",532
201412,A,"S,Su 1:00 PM - 8:00 PM",323
201412,B,"S,Su 1:00 PM - 8:00 PM",671
201501,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",213
201501,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",349
201501,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",399
201501,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",650
201501,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",638
201501,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1380
201501,A,"M,T,W,R,F 6:00 PM - 8:00 PM",284
201501,B,"M,T,W,R,F 6:00 PM - 8:00 PM",723
201501,A,"M,T,W,R,F 4:00 PM - 6:00 PM",208
201501,B,"M,T,W,R,F 4:00 PM - 6:00 PM",500
201501,A,"M,T,W,R,F 1:00 PM - 4:00 PM",164
201501,B,"M,T,W,R,F 1:00 PM - 4:00 PM",424
201501,A,"M,T,W,R,F 10:00 AM - 1:00 PM",124
201501,B,"M,T,W,R,F 10:00 AM - 1:00 PM",319
201501,A,"M,T,W,R,F 6:00 AM - 10:00 AM",101
201501,B,"M,T,W,R,F 6:00 AM - 10:00 AM",154
201501,A,"S,Su 6:00 AM - 8:00 AM",100
201501,B,"S,Su 6:00 AM - 8:00 AM",0
201501,A,"S,Su 8:00 AM - 1:00 PM",198
201501,B,"S,Su 8:00 AM - 1:00 PM",457
201501,A,"S,Su 1:00 PM - 8:00 PM",376
201501,B,"S,Su 1:00 PM - 8:00 PM",724
201502,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",195
